PurchaseID,VendorID,ProductID,PurchaseDate,Quantity,UnitCost,TotalCost,PaymentMethod,PaymentStatus,ReceivedDate,InvoiceNo,Notes
PO00058,VEND0070,PROD0069,2023-11-23,18,630.08,11341.44,Cash,Paid,2023-11-30,INV-466375,
PO00059,VEND0038,PROD0028,2024-11-09,55,532.35,29279.25,Cheque,Overdue,2024-11-15,INV-656268,Urgent restock
PO00060,VEND0086,PROD0045,2023-01-19,144,659.83,95015.52,Cash,Paid,2023-01-21,INV-773462,Seasonal purchase
PO00061,VEND0042,PROD0049,2023-03-23,160,198.84,31814.4,Cheque,Paid,2023-04-03,INV-504620,Bulk order
PO00062,VEND0099,PROD0048,2023-02-20,139,580.56,80697.84,UPI,Overdue,2023-03-01,INV-567200,Urgent restock
PO00063,VEND0066,PROD0011,2024-01-30,12,240.67,2888.04,Credit Card,Paid,2024-02-05,INV-910883,Seasonal purchase
PO00064,VEND0086,PROD0081,2023-05-15,137,10.83,1483.71,Cheque,Paid,2023-05-19,INV-818699,Urgent restock
PO00065,VEND0010,PROD0096,2025-06-10,27,168.44,4547.88,Net Banking,Paid,2025-06-21,INV-124906,Urgent restock
PO00066,VEND0007,PROD0023,2023-06-29,184,268.71,49442.64,Cheque,Paid,2023-07-01,INV-685193,
PO00067,VEND0050,PROD0058,2024-06-13,148,658.19,97412.12,Net Banking,Pending,2024-06-20,INV-554059,Bulk order
PO00068,VEND0001,PROD0083,2023-08-31,5,314.65,1573.25,Net Banking,Overdue,2023-09-09,INV-166309,
PO00069,VEND0065,PROD0014,2023-05-29,150,41.19,6178.5,Bank Transfer,Paid,2023-06-04,INV-736030,
PO00070,VEND0051,PROD0085,2025-06-15,73,613.39,44777.47,Credit Card,Pending,2025-06-22,INV-263917,Seasonal purchase
PO00071,VEND0070,PROD0038,2025-03-11,57,113.42,6464.94,Net Banking,Paid,2025-03-24,INV-412534,
PO00072,VEND0072,PROD0019,2023-01-23,187,520.11,97260.57,Credit Card,Paid,2023-02-01,INV-105274,Seasonal purchase
PO00073,VEND0027,PROD0096,2023-06-24,153,318.29,48698.37,Net Banking,Paid,2023-06-29,INV-322022,Urgent restock
PO00074,VEND0024,PROD0029,2023-10-19,166,681.91,113197.06,UPI,Paid,2023-10-22,INV-303765,
PO00075,VEND0097,PROD0071,2023-04-22,47,538.43,25306.21,Cash,Overdue,2023-05-06,INV-176697,Bulk order
PO00076,VEND0093,PROD0075,2023-07-21,172,58.55,10070.6,Cash,Paid,2023-07-25,INV-474486,
PO00077,VEND0080,PROD0009,2023-07-24,172,526.1,90489.2,Debit Card,Paid,2023-07-29,INV-609462,Urgent restock
PO00078,VEND0075,PROD0020,2024-09-18,85,494.99,42074.15,UPI,Overdue,2024-09-30,INV-482199,Bulk order
PO00079,VEND0029,PROD0092,2024-10-03,110,139.07,15297.7,Net Banking,Pending,2024-10-07,INV-390119,Bulk order
PO00080,VEND0060,PROD0058,2024-11-10,35,545.27,19084.45,Bank Transfer,Paid,2024-11-18,INV-610626,Seasonal purchase
PO00081,VEND0036,PROD0018,2023-06-17,28,144.74,4052.72,UPI,Paid,2023-07-01,INV-376021,
PO00082,VEND0065,PROD0081,2023-06-04,161,65.79,10592.19,Credit Card,Overdue,2023-06-05,INV-707021,Urgent restock
PO00083,VEND0034,PROD0070,2023-03-17,197,474.08,93393.76,UPI,Pending,2023-03-26,INV-785672,
PO00084,VEND0060,PROD0065,2024-08-18,94,317.04,29801.76,UPI,Paid,2024-08-21,INV-516059,Bulk order
PO00085,VEND0079,PROD0088,2024-05-04,129,13.42,1731.18,Debit Card,Overdue,2024-05-18,INV-247189,Urgent restock
PO00086,VEND0094,PROD0062,2023-10-27,41,147.42,6044.22,Bank Transfer,Paid,2023-11-08,INV-329448,Urgent restock
PO00087,VEND0006,PROD0086,2025-01-26,60,54.97,3298.2,Debit Card,Overdue,2025-01-30,INV-929906,Bulk order
PO00088,VEND0006,PROD0084,2025-07-20,100,378.39,37839.0,Bank Transfer,Paid,2025-07-21,INV-837920,Seasonal purchase
PO00089,VEND0070,PROD0073,2024-06-23,163,664.57,108324.91,Debit Card,Pending,2024-07-03,INV-785428,Urgent restock
PO00090,VEND0033,PROD0049,2023-06-09,94,472.2,44386.8,Debit Card,Overdue,2023-06-18,INV-525556,Bulk order
PO00091,VEND0001,PROD0065,2025-09-14,89,392.05,34892.45,Debit Card,Pending,2025-09-24,INV-273650,
PO00092,VEND0020,PROD0024,2024-07-29,20,414.06,8281.2,Debit Card,Paid,2024-08-02,INV-731264,
PO00093,VEND0043,PROD0093,2025-04-29,31,530.58,16447.98,Credit Card,Pending,2025-05-12,INV-808029,Urgent restock
PO00094,VEND0053,PROD0003,2023-11-27,123,172.51,21218.73,Debit Card,Paid,2023-12-08,INV-234097,Seasonal purchase
PO00095,VEND0074,PROD0019,2025-11-15,152,133.1,20231.2,Credit Card,Paid,2025-11-16,INV-370804,
PO00096,VEND0094,PROD0085,2023-02-08,133,766.8,101984.4,Cheque,Paid,2023-02-20,INV-189913,
PO00097,VEND0062,PROD0022,2025-08-23,115,487.19,56026.85,Debit Card,Pending,2025-09-06,INV-730025,
PO00098,VEND0085,PROD0066,2024-01-08,150,657.26,98589.0,Bank Transfer,Paid,2024-01-18,INV-859364,
PO00099,VEND0049,PROD0050,2023-05-21,88,738.27,64967.76,Debit Card,Paid,2023-05-25,INV-117367,
PO00100,VEND0054,PROD0020,2025-10-29,134,688.38,92242.92,UPI,Paid,2025-11-09,INV-286040,Urgent restock
