SaleID,CustomerID,ProductID,SaleDate,Quantity,UnitPrice,Discount_pct,TotalAmount,PaymentMethod,PaymentStatus,ShipDate,DeliveryStatus,SalespersonID
SALE00042,CUST0004,PROD0005,2025-12-14,15,755.51,0,11332.65,Net Banking,Paid,2025-12-16,Delivered,EMP016
SALE00043,CUST0057,PROD0018,2024-07-11,15,1170.23,10,15798.11,Net Banking,Refunded,2024-07-16,Delivered,EMP019
SALE00044,CUST0082,PROD0082,2025-06-09,20,553.29,15,9405.93,UPI,Paid,2025-06-14,Delivered,EMP016
SALE00045,CUST0047,PROD0053,2025-06-23,18,280.28,0,5045.04,Bank Transfer,Paid,2025-06-26,Delivered,EMP001
SALE00046,CUST0037,PROD0061,2023-10-07,1,632.75,20,506.2,UPI,Paid,2023-10-10,Returned,EMP016
SALE00047,CUST0077,PROD0030,2025-05-31,16,366.54,20,4691.71,Cheque,Paid,2025-06-03,Processing,EMP012
SALE00048,CUST0032,PROD0021,2025-06-14,7,499.97,10,3149.81,Net Banking,Pending,2025-06-18,Shipped,EMP008
SALE00049,CUST0098,PROD0079,2024-05-05,9,104.26,15,797.59,Cheque,Paid,2024-05-10,Delivered,EMP018
SALE00050,CUST0018,PROD0038,2023-05-21,9,501.36,20,3609.79,Credit Card,Pending,2023-05-23,Processing,EMP015
SALE00051,CUST0003,PROD0020,2024-01-20,9,843.56,5,7212.44,Credit Card,Refunded,2024-01-23,Delivered,EMP006
SALE00052,CUST0030,PROD0012,2025-06-16,4,345.72,0,1382.88,Debit Card,Paid,2025-06-17,Shipped,EMP007
SALE00053,CUST0060,PROD0090,2025-10-17,11,510.09,20,4488.79,Cheque,Paid,2025-10-20,Delivered,EMP003
SALE00054,CUST0070,PROD0061,2025-03-14,5,76.69,20,306.76,Debit Card,Paid,2025-03-15,Delivered,EMP013
SALE00055,CUST0099,PROD0057,2024-05-24,1,155.13,20,124.1,Debit Card,Paid,2024-05-28,Delivered,EMP015
SALE00056,CUST0088,PROD0040,2025-08-26,4,630.16,0,2520.64,Bank Transfer,Paid,2025-08-30,Returned,EMP002
SALE00057,CUST0026,PROD0047,2025-09-12,18,629.9,0,11338.2,Credit Card,Paid,2025-09-15,Delivered,EMP008
SALE00058,CUST0016,PROD0051,2024-07-19,14,396.17,0,5546.38,Cheque,Paid,2024-07-24,Delivered,EMP002
SALE00059,CUST0099,PROD0012,2023-11-14,19,942.34,5,17009.24,Debit Card,Paid,2023-11-17,Shipped,EMP003
SALE00060,CUST0046,PROD0083,2023-05-03,20,412.72,20,6603.52,Debit Card,Refunded,2023-05-04,Delivered,EMP005
SALE00061,CUST0094,PROD0025,2024-12-12,16,286.88,10,4131.07,Credit Card,Pending,2024-12-16,Delivered,EMP005
SALE00062,CUST0038,PROD0070,2025-06-15,9,1079.41,5,9228.96,Net Banking,Pending,2025-06-20,Delivered,EMP019
SALE00063,CUST0077,PROD0071,2025-08-17,6,656.91,0,3941.46,Debit Card,Paid,2025-08-20,Processing,EMP005
SALE00064,CUST0001,PROD0100,2025-01-21,15,361.85,0,5427.75,Net Banking,Refunded,2025-01-25,Shipped,EMP006
SALE00065,CUST0093,PROD0009,2024-05-04,1,747.48,0,747.48,Net Banking,Refunded,2024-05-07,Shipped,EMP007
SALE00066,CUST0037,PROD0042,2023-11-12,17,823.04,20,11193.34,Cash,Paid,2023-11-17,Delivered,EMP004
SALE00067,CUST0005,PROD0026,2023-09-23,17,794.08,0,13499.36,Credit Card,Pending,2023-09-25,Delivered,EMP004
SALE00068,CUST0068,PROD0080,2025-03-06,2,689.5,20,1103.2,Net Banking,Refunded,2025-03-10,Delivered,EMP002
SALE00069,CUST0027,PROD0084,2023-05-26,12,272.66,15,2781.13,Cash,Paid,2023-05-27,Shipped,EMP002
SALE00070,CUST0079,PROD0035,2025-01-25,12,674.04,5,7684.06,UPI,Paid,2025-01-26,Returned,EMP003
SALE00071,CUST0013,PROD0093,2025-11-29,10,102.74,0,1027.4,Debit Card,Refunded,2025-11-30,Shipped,EMP007
SALE00072,CUST0096,PROD0072,2024-01-02,7,636.17,0,4453.19,Cash,Paid,2024-01-07,Returned,EMP019
SALE00073,CUST0022,PROD0024,2025-05-24,12,812.65,15,8289.03,UPI,Pending,2025-05-25,Processing,EMP011
SALE00074,CUST0041,PROD0071,2025-06-26,6,645.34,10,3484.84,Bank Transfer,Paid,2025-06-29,Shipped,EMP014
SALE00075,CUST0099,PROD0071,2024-03-14,11,734.01,10,7266.7,Net Banking,Paid,2024-03-18,Delivered,EMP015
SALE00076,CUST0077,PROD0003,2023-03-12,15,1152.19,0,17282.85,UPI,Paid,2023-03-15,Delivered,EMP001
SALE00077,CUST0099,PROD0089,2024-10-06,10,1181.43,0,11814.3,Cheque,Paid,2024-10-07,Processing,EMP017
SALE00078,CUST0005,PROD0059,2023-11-13,18,689.1,10,11163.42,Bank Transfer,Paid,2023-11-14,Delivered,EMP009
SALE00079,CUST0039,PROD0012,2024-04-22,12,1068.65,0,12823.8,UPI,Pending,2024-04-25,Processing,EMP007
SALE00080,CUST0063,PROD0089,2025-09-15,3,871.06,20,2090.54,Net Banking,Refunded,2025-09-17,Delivered,EMP020
SALE00081,CUST0100,PROD0008,2025-02-20,10,54.47,20,435.76,Cheque,Paid,2025-02-21,Delivered,EMP014
SALE00082,CUST0002,PROD0082,2024-04-09,14,1116.99,0,15637.86,Cheque,Pending,2024-04-14,Delivered,EMP010
SALE00083,CUST0065,PROD0090,2023-11-03,17,59.01,10,902.85,Debit Card,Paid,2023-11-06,Delivered,EMP013
SALE00084,CUST0029,PROD0056,2025-10-30,15,905.88,10,12229.38,Bank Transfer,Pending,2025-10-31,Delivered,EMP005
SALE00085,CUST0052,PROD0034,2023-04-11,11,108.23,10,1071.48,Credit Card,Pending,2023-04-16,Processing,EMP014
SALE00086,CUST0051,PROD0084,2024-02-10,5,916.82,5,4354.9,UPI,Paid,2024-02-14,Processing,EMP020
SALE00087,CUST0042,PROD0088,2024-06-29,17,303.03,0,5151.51,UPI,Paid,2024-07-03,Delivered,EMP014
SALE00088,CUST0077,PROD0084,2024-10-18,14,444.67,0,6225.38,Credit Card,Paid,2024-10-21,Delivered,EMP012
SALE00089,CUST0019,PROD0057,2025-06-24,20,987.69,20,15803.04,Credit Card,Paid,2025-06-29,Delivered,EMP012
SALE00090,CUST0095,PROD0007,2023-06-25,5,911.7,20,3646.8,Debit Card,Refunded,2023-06-26,Delivered,EMP010
SALE00091,CUST0058,PROD0061,2023-08-16,1,418.49,20,334.79,Credit Card,Paid,2023-08-19,Delivered,EMP018
SALE00092,CUST0062,PROD0080,2024-06-13,7,252.52,10,1590.88,Net Banking,Paid,2024-06-18,Returned,EMP001
SALE00093,CUST0033,PROD0022,2025-12-14,13,703.78,15,7776.77,Credit Card,Paid,2025-12-15,Delivered,EMP020
SALE00094,CUST0050,PROD0085,2023-01-18,9,73.17,15,559.75,Bank Transfer,Paid,2023-01-19,Delivered,EMP001
SALE00095,CUST0049,PROD0066,2025-03-02,10,1042.22,15,8858.87,Net Banking,Paid,2025-03-04,Delivered,EMP016
SALE00096,CUST0059,PROD0072,2024-02-12,20,642.56,0,12851.2,Net Banking,Paid,2024-02-17,Delivered,EMP008
SALE00097,CUST0003,PROD0045,2025-03-16,17,372.86,5,6021.69,Net Banking,Paid,2025-03-18,Delivered,EMP010
SALE00098,CUST0081,PROD0033,2024-07-18,8,1195.23,10,8605.66,Cash,Paid,2024-07-19,Processing,EMP009
SALE00099,CUST0094,PROD0049,2023-10-09,8,190.53,5,1448.03,UPI,Refunded,2023-10-10,Returned,EMP008
SALE00100,CUST0078,PROD0043,2025-05-23,14,296.03,0,4144.42,Cash,Refunded,2025-05-26,Delivered,EMP007
